,단어,tf-idf,idf
1086,달달,220.84936444938216,3.4234362295031
1120,달콤하다,112.7644754259079,4.482750730756839
1085,달다,99.6837160689142,4.422919804769814
2846,선물,88.17238549958955,3.340776323814972
4729,좋아하다,75.94217260032927,3.6588457499443416
1733,만족하다,75.0742618439719,4.492431348467563
2440,부드럽다,53.02539518380021,4.390774179796397
5816,향,51.75255529467183,3.86149077971021
2313,병,41.53623059874005,3.891971331684306
872,넘김,34.218988429726835,4.733239735961578
5568,포도,34.18898242513781,5.487630541762242
