,단어,tf-idf,idf
5821,향,19.69747540065958,3.86149077971021
2442,부드럽다,18.931232449415266,4.390774179796397
1121,달콤하다,17.264790066693134,4.482750730756839
2315,병,16.140421128120966,3.891971331684306
1734,만족하다,12.235381894040659,4.492431348467563
5573,포도,12.060424527094838,5.487630541762242
5159,추천,11.112959573306165,4.699173181397972
4206,이쁘다,11.107602944507086,5.487630541762242
1948,목,10.537131860550824,4.725841428480133
872,넘김,10.42762800641613,4.733239735961578
5223,친구,9.967500986177377,4.404933708400032
2488,분위기,9.9579551197119,5.793012191313424
